geocode,neighborhoodid,neighborhoodname,neighborhoodid2
0,24,South Boston,5
1,12,East Boston,1
2,12,East Boston,1
3,12,East Boston,1
4,12,East Boston,1
5,12,East Boston,1
6,12,East Boston,1
7,12,East Boston,1
8,12,East Boston,1
9,12,East Boston,1
10,12,East Boston,1
11,12,East Boston,1
12,12,East Boston,1
13,12,East Boston,1
14,12,East Boston,1
15,12,East Boston,1
16,12,East Boston,1
17,12,East Boston,1
18,12,East Boston,1
19,12,East Boston,1
20,12,East Boston,1
21,12,East Boston,1
22,12,East Boston,1
23,12,East Boston,1
24,12,East Boston,1
25,12,East Boston,1
26,12,East Boston,1
27,12,East Boston,1
28,12,East Boston,1
29,12,East Boston,1
30,12,East Boston,1
31,12,East Boston,1
32,12,East Boston,1
33,12,East Boston,1
34,12,East Boston,1
35,12,East Boston,1
36,12,East Boston,1
37,13,Charlestown,2
38,13,Charlestown,2
39,13,Charlestown,2
40,13,Charlestown,2
41,13,Charlestown,2
42,13,Charlestown,2
43,13,Charlestown,2
44,13,Charlestown,2
45,13,Charlestown,2
46,13,Charlestown,2
47,13,Charlestown,2
48,13,Charlestown,2
49,13,Charlestown,2
50,13,Charlestown,2
51,13,Charlestown,2
52,13,Charlestown,2
53,13,Charlestown,2
54,13,Charlestown,2
55,13,Charlestown,2
56,13,Charlestown,2
57,13,Charlestown,2
58,13,Charlestown,2
59,13,Charlestown,2
60,13,Charlestown,2
61,13,Charlestown,2
62,14,West End,2
63,14,West End,2
64,14,West End,2
65,14,West End,2
66,15,Beacon Hill,2
67,15,Beacon Hill,2
68,15,Beacon Hill,2
69,15,Beacon Hill,2
70,15,Beacon Hill,2
71,15,Beacon Hill,2
72,16,Downtown,2
73,16,Downtown,2
74,14,West End,2
75,14,West End,2
76,14,West End,2
77,16,Downtown,2
78,16,Downtown,2
79,14,West End,2
80,8,North End,2
81,8,North End,2
82,8,North End,2
83,8,North End,2
84,8,North End,2
85,8,North End,2
86,8,North End,2
87,8,North End,2
88,8,North End,2
89,8,North End,2
90,8,North End,2
91,8,North End,2
92,16,Downtown,2
93,16,Downtown,2
94,16,Downtown,2
95,16,Downtown,2
96,16,Downtown,2
97,16,Downtown,2
98,16,Downtown,2
99,16,Downtown,2
100,16,Downtown,2
101,16,Downtown,2
102,16,Downtown,2
103,16,Downtown,2
104,16,Downtown,2
105,16,Downtown,2
106,16,Downtown,2
107,16,Downtown,2
108,16,Downtown,2
109,16,Downtown,2
110,16,Downtown,2
111,16,Downtown,2
112,16,Downtown,2
113,16,Downtown,2
114,16,Downtown,2
115,6,Leather District,2
116,7,Chinatown,2
117,16,Downtown,2
118,16,Downtown,2
119,15,Beacon Hill,2
120,15,Beacon Hill,2
121,16,Downtown,2
122,16,Downtown,2
123,7,Chinatown,2
124,7,Chinatown,2
125,5,Bay Village,2
126,5,Bay Village,2
127,7,Chinatown,2
128,5,Bay Village,2
129,11,Back Bay,2
130,11,Back Bay,2
131,11,Back Bay,2
132,11,Back Bay,2
133,11,Back Bay,2
134,11,Back Bay,2
135,11,Back Bay,2
136,11,Back Bay,2
137,11,Back Bay,2
138,11,Back Bay,2
139,11,Back Bay,2
140,11,Back Bay,2
141,11,Back Bay,2
142,11,Back Bay,2
143,11,Back Bay,2
144,11,Back Bay,2
145,11,Back Bay,2
146,11,Back Bay,2
147,10,South End,3
148,10,South End,3
149,10,South End,3
150,10,South End,3
151,10,South End,3
152,10,South End,3
153,10,South End,3
154,10,South End,3
155,10,South End,3
156,10,South End,3
157,10,South End,3
158,10,South End,3
159,10,South End,3
160,10,South End,3
161,10,South End,3
162,10,South End,3
163,10,South End,3
164,10,South End,3
165,10,South End,3
166,10,South End,3
167,10,South End,3
168,10,South End,3
169,10,South End,3
170,10,South End,3
171,10,South End,3
172,10,South End,3
173,16,Downtown,2
174,24,South Boston,5
175,24,South Boston,5
176,24,South Boston,5
177,24,South Boston,5
178,9,Roxbury,4
179,9,Roxbury,4
180,9,Roxbury,4
181,9,Roxbury,4
182,9,Roxbury,4
183,22,Dorchester,12
184,22,Dorchester,12
185,22,Dorchester,12
186,22,Dorchester,12
187,22,Dorchester,12
188,22,Dorchester,12
189,22,Dorchester,12
190,24,South Boston,5
191,24,South Boston,5
192,24,South Boston,5
193,24,South Boston,5
194,24,South Boston,5
195,24,South Boston,5
196,24,South Boston,5
197,24,South Boston,5
198,24,South Boston,5
199,24,South Boston,5
200,24,South Boston,5
201,24,South Boston,5
202,24,South Boston,5
203,23,South Boston Waterfront,5
204,23,South Boston Waterfront,5
205,23,South Boston Waterfront,5
206,23,South Boston Waterfront,5
207,23,South Boston Waterfront,5
209,23,South Boston Waterfront,5
210,23,South Boston Waterfront,5
211,24,South Boston,5
212,24,South Boston,5
213,24,South Boston,5
214,24,South Boston,5
215,24,South Boston,5
216,24,South Boston,5
217,24,South Boston,5
218,24,South Boston,5
219,24,South Boston,5
220,24,South Boston,5
221,24,South Boston,5
222,24,South Boston,5
223,24,South Boston,5
224,24,South Boston,5
225,24,South Boston,5
226,24,South Boston,5
227,24,South Boston,5
228,24,South Boston,5
229,24,South Boston,5
230,24,South Boston,5
231,24,South Boston,5
232,24,South Boston,5
233,24,South Boston,5
234,24,South Boston,5
235,22,Dorchester,12
236,22,Dorchester,12
237,22,Dorchester,12
238,22,Dorchester,12
239,22,Dorchester,12
240,22,Dorchester,12
241,22,Dorchester,12
242,22,Dorchester,12
243,22,Dorchester,12
244,22,Dorchester,12
245,22,Dorchester,12
246,22,Dorchester,12
247,22,Dorchester,12
248,22,Dorchester,12
249,22,Dorchester,12
250,22,Dorchester,12
251,22,Dorchester,12
252,22,Dorchester,12
253,22,Dorchester,12
254,22,Dorchester,12
255,22,Dorchester,12
256,22,Dorchester,12
257,22,Dorchester,12
258,22,Dorchester,12
259,22,Dorchester,12
260,9,Roxbury,4
261,9,Roxbury,4
262,9,Roxbury,4
263,9,Roxbury,4
264,9,Roxbury,4
265,9,Roxbury,4
266,9,Roxbury,4
267,9,Roxbury,4
268,9,Roxbury,4
269,9,Roxbury,4
270,9,Roxbury,4
271,9,Roxbury,4
272,9,Roxbury,4
273,9,Roxbury,4
274,9,Roxbury,4
275,9,Roxbury,4
276,9,Roxbury,4
277,9,Roxbury,4
278,9,Roxbury,4
279,9,Roxbury,4
280,9,Roxbury,4
281,9,Roxbury,4
282,9,Roxbury,4
283,17,Fenway,4
284,9,Roxbury,4
285,9,Roxbury,4
286,9,Roxbury,4
287,9,Roxbury,4
288,9,Roxbury,4
289,9,Roxbury,4
290,9,Roxbury,4
291,9,Roxbury,4
292,9,Roxbury,4
293,9,Roxbury,4
294,9,Roxbury,4
295,9,Roxbury,4
296,9,Roxbury,4
297,9,Roxbury,4
298,9,Roxbury,4
299,9,Roxbury,4
300,9,Roxbury,4
301,9,Roxbury,4
302,9,Roxbury,4
303,2,Jamaica Plain,6
304,9,Roxbury,4
305,9,Roxbury,4
306,9,Roxbury,4
307,9,Roxbury,4
308,9,Roxbury,4
309,9,Roxbury,4
310,9,Roxbury,4
311,9,Roxbury,4
312,9,Roxbury,4
313,9,Roxbury,4
314,9,Roxbury,4
315,9,Roxbury,4
316,9,Roxbury,4
317,9,Roxbury,4
318,9,Roxbury,4
319,9,Roxbury,4
320,9,Roxbury,4
321,9,Roxbury,4
322,9,Roxbury,4
323,9,Roxbury,4
324,9,Roxbury,4
325,9,Roxbury,4
326,22,Dorchester,12
327,9,Roxbury,4
328,22,Dorchester,12
329,22,Dorchester,12
330,22,Dorchester,12
331,22,Dorchester,12
332,22,Dorchester,12
333,22,Dorchester,12
334,22,Dorchester,12
335,22,Dorchester,12
336,22,Dorchester,12
337,22,Dorchester,12
338,22,Dorchester,12
339,22,Dorchester,12
340,22,Dorchester,12
341,22,Dorchester,12
342,22,Dorchester,12
343,22,Dorchester,12
344,22,Dorchester,12
345,22,Dorchester,12
346,22,Dorchester,12
347,22,Dorchester,12
348,22,Dorchester,12
349,22,Dorchester,12
350,22,Dorchester,12
351,22,Dorchester,12
352,22,Dorchester,12
353,22,Dorchester,12
354,22,Dorchester,12
355,22,Dorchester,12
356,22,Dorchester,12
357,22,Dorchester,12
358,22,Dorchester,12
359,22,Dorchester,12
360,22,Dorchester,12
361,22,Dorchester,12
362,22,Dorchester,12
363,22,Dorchester,12
364,22,Dorchester,12
365,22,Dorchester,12
366,22,Dorchester,12
367,22,Dorchester,12
368,22,Dorchester,12
369,22,Dorchester,12
370,22,Dorchester,12
371,22,Dorchester,12
373,22,Dorchester,12
374,22,Dorchester,12
375,22,Dorchester,12
376,22,Dorchester,12
377,22,Dorchester,12
378,22,Dorchester,12
379,22,Dorchester,12
380,22,Dorchester,12
381,22,Dorchester,12
382,22,Dorchester,12
383,22,Dorchester,12
384,22,Dorchester,12
385,22,Dorchester,12
386,22,Dorchester,12
387,22,Dorchester,12
388,22,Dorchester,12
389,22,Dorchester,12
390,22,Dorchester,12
391,22,Dorchester,12
392,22,Dorchester,12
393,22,Dorchester,12
394,22,Dorchester,12
395,22,Dorchester,12
396,22,Dorchester,12
397,22,Dorchester,12
398,22,Dorchester,12
399,22,Dorchester,12
400,22,Dorchester,12
401,22,Dorchester,12
402,22,Dorchester,12
403,22,Dorchester,12
404,21,Mattapan,10
405,21,Mattapan,10
406,21,Mattapan,10
407,21,Mattapan,10
408,21,Mattapan,10
409,21,Mattapan,10
410,21,Mattapan,10
411,21,Mattapan,10
412,21,Mattapan,10
413,21,Mattapan,10
414,21,Mattapan,10
415,22,Dorchester,12
416,22,Dorchester,12
417,22,Dorchester,12
418,22,Dorchester,12
419,22,Dorchester,12
420,21,Mattapan,10
421,21,Mattapan,10
422,21,Mattapan,10
423,21,Mattapan,10
424,21,Mattapan,10
425,21,Mattapan,10
426,21,Mattapan,10
427,21,Mattapan,10
428,21,Mattapan,10
429,22,Dorchester,12
430,22,Dorchester,12
431,22,Dorchester,12
432,22,Dorchester,12
